ACCOUNT_PERFORMANCE_REPORT|Account Performance Report
AD_PERFORMANCE_REPORT|Ad Performance Report
AD_CUSTOMIZERS_FEED_ITEM_REPORT|Ad Customizers Feed Item Report
AD_EXTENSIONS_PERFORMANCE_REPORT|Ad Extensions Performance Report
ADGROUP_PERFORMANCE_REPORT|Ad Group Performance Report
ADGROUP_REACH_FREQUENCY_REPORT|Ad Group Reach Frequency Report
AGE_RANGE_PERFORMANCE_REPORT|Age Range Performance Report
AUDIENCE_PERFORMANCE_REPORT|Audience Performance Report
AUTOMATIC_PLACEMENTS_PERFORMANCE_REPORT|Automatic Placements Performance Report
BID_GOAL_PERFORMANCE_REPORT|Bid Goal Performance Report
BUDGET_PERFORMANCE_REPORT|Budget Performance Report
CALL_METRICS_CALL_DETAILS_REPORT|Call Metrics Call Details Report
CAMPAIGN_PERFORMANCE_REPORT|Campaign Performance Report
CAMPAIGN_AD_SCHEDULE_TARGET_REPORT|Campaign Ad Schedule Target Report
CAMPAIGN_LOCATION_TARGET_REPORT|Campaign Location Target Report
CAMPAIGN_NEGATIVE_KEYWORDS_PERFORMANCE_REPORT|Campaign Negative Keywords Performance Report
CAMPAIGN_NEGATIVE_LOCATIONS_REPORT|Campaign Negative Locations Report
CAMPAIGN_NEGATIVE_PLACEMENTS_PERFORMANCE_REPORT|Campaign Negative Placements Performance Report
CAMPAIGN_PLATFORM_TARGET_REPORT|Campaign Platform Target Report
CAMPAIGN_SHARED_SET_REPORT|Campaign Shared Set Report
CLICK_PERFORMANCE_REPORT|Click Performance Report
CREATIVE_CONVERSION_REPORT|Creative Conversion Report
CRITERIA_PERFORMANCE_REPORT|Criteria Performance Report
DESTINATION_URL_REPORT|Destination URL Report
DISPLAY_KEYWORD_PERFORMANCE_REPORT|Display Keyword Performance Report
DISPLAY_TOPICS_PERFORMANCE_REPORT|Display Topics Performance Report
GENDER_PERFORMANCE_REPORT|Gender Performance Report
GEO_PERFORMANCE_REPORT|Geo Performance Report
KEYWORDLESS_CATEGORY_REPORT|Keywordless Category Report
KEYWORDLESS_QUERY_REPORT|Keywordless Query Report
KEYWORDS_PERFORMANCE_REPORT|Keywords Performance Report
PAID_ORGANIC_QUERY_REPORT|Paid and Organic Query Report
PLACEHOLDER_REPORT|Placeholder Report
PLACEHOLDER_FEED_ITEM_REPORT|Placeholder Feed Item Report
PLACEMENT_PERFORMANCE_REPORT|Placement Performance Report
PRODUCT_PARTITION_REPORT|Product Partition Report
SEARCH_QUERY_PERFORMANCE_REPORT|Search Query Performance Report
SHARED_SET_CRITERIA_REPORT|Shared Set Criteria Report
SHARED_SET_REPORT|Shared Set Report
SHOPPING_PERFORMANCE_REPORT|Shopping Performance Report
URL_PERFORMANCE_REPORT|URL Performance Report

